Tone,Message,City,State,Country,Date
Big Hug,"I didn’t disappear into myself.

You stayed patient with me.

I’m here because of that.",Providence,Rhode Island,United States,2026-05-21
Big Hug,"I held the line one more day.

You probably didn’t even realize you were helping.

It changed the day.",Cheyenne,Wyoming,United States,2026-08-04
Big Hug,"I stayed when running felt easier.

You met me where I was.

It changed the day.",Denver,Colorado,United States,2026-03-11
Big Hug,"I kept breathing when it felt heavy.

You didn’t flinch.

I’m holding onto that kindness.",Rio de Janeiro,,Brazil,2026-06-21
Big Hug,"I stayed when running felt easier.

You gave me room to breathe.

I’m here because of that.",Denver,Colorado,United States,2026-12-23
Big Hug,"I let someone see the mess.

You didn’t try to fix me.

I’m holding onto that kindness.",Minneapolis,Minnesota,United States,2026-08-16
Big Hug,"I kept breathing when it felt heavy.

You probably didn’t even realize you were helping.

That carried me farther than you know.",Paris,,France,2026-08-01
Big Hug,"I stayed in the room.

You reminded me what love feels like.

You just sat with me and that was enough.

That was the anchor.",Denver,Colorado,United States,2026-02-10
Big Hug,"I kept breathing when it felt heavy.

You didn’t flinch.

That carried me farther than you know.",Chicago,Illinois,United States,2026-03-28
Big Hug,"I didn’t quit that night.

You stayed patient with me.

I’m still grateful for that.",Philadelphia,Pennsylvania,United States,2026-04-25
Big Hug,"I didn’t disappear into myself.

You didn’t try to fix me.

I’m still grateful for that.",Fargo,North Dakota,United States,2026-06-07
Big Hug,"I held the line one more day.

You didn’t flinch.

That stayed with me.",New York,New York,United States,2026-03-03
Big Hug,"I didn’t give up on me.

You didn’t flinch.

That carried me farther than you know.",New Orleans,Louisiana,United States,2026-12-30
Big Hug,"I stayed in the room.

You stayed patient with me.

It meant everything in that moment.",Vancouver,,Canada,2026-12-20
Big Hug,"I didn’t shut down.

You stayed on the phone.

I won’t forget it.",Sydney,,Australia,2026-04-11
Big Hug,"I stayed when running felt easier.

I felt loved in a way I didn’t expect.

You stayed on the phone.

I won’t forget it.",Birmingham,Alabama,United States,2026-05-18
Big Hug,"I didn’t give up on me.

You just sat with me and that was enough.

I think about that a lot.",Detroit,Michigan,United States,2026-04-03
Big Hug,"I didn’t disappear into myself.

You gave me room to breathe.

That carried me farther than you know.",Phoenix,Arizona,United States,2026-05-01
Big Hug,"I didn’t quit that night.

You made love feel simple.

You probably didn’t even realize you were helping.

It steadied me.",Birmingham,Alabama,United States,2026-09-14
Big Hug,"I made it through the quiet part.

You stayed patient with me.

I’m holding onto that kindness.",Charlotte,North Carolina,United States,2026-12-07
Big Hug,"I didn’t disappear into myself.

You met me where I was.

I’m holding onto that kindness.",Wichita,Kansas,United States,2026-06-01
Big Hug,"I didn’t disappear into myself.

I felt chosen.

You gave me room to breathe.

I think about that a lot.",Anchorage,Alaska,United States,2026-05-20
Big Hug,"I didn’t shut down.

You didn’t flinch.

That carried me farther than you know.",Portland,Oregon,United States,2026-07-10
Big Hug,"I didn’t give up on me.

You didn’t flinch.

It meant everything in that moment.",Kansas City,Missouri,United States,2026-12-05
Big Hug,"I didn’t quit that night.

You stayed on the phone.

That helped me stay.",Kansas City,Missouri,United States,2026-09-26
Big Hug,"I kept breathing when it felt heavy.

You probably didn’t even realize you were helping.

It meant everything in that moment.",Billings,Montana,United States,2026-03-01
Big Hug,"I made it through the quiet part.

You didn’t flinch.

That helped me stay.",Richmond,Virginia,United States,2026-10-30
Big Hug,"I didn’t shut down.

You reminded me I’m not broken.

That carried me farther than you know.",Paris,,France,2026-09-22
Big Hug,"I didn’t quit that night.

You talked to me like I still mattered.

It meant everything in that moment.",Hartford,Connecticut,United States,2026-04-28
Big Hug,"I held the line one more day.

You stayed on the phone.

I’m still grateful for that.",Honolulu,Hawaii,United States,2026-06-04
Big Hug,"I stayed in the room.

I felt chosen.

You answered when I reached out.

I’m here because of that.",Charleston,West Virginia,United States,2026-04-03
Big Hug,"I stayed when running felt easier.

You just sat with me and that was enough.

That carried me farther than you know.",New Orleans,Louisiana,United States,2026-12-08
Big Hug,"I didn’t disappear into myself.

You made my heart feel safe.

You reminded me I’m not broken.

It changed the day.",Richmond,Virginia,United States,2026-04-26
Big Hug,"I didn’t quit that night.

You reminded me I’m not broken.

I won’t forget it.",New York,New York,United States,2026-05-22
Big Hug,"I let someone see the mess.

You reminded me I’m not broken.

It steadied me.",Phoenix,Arizona,United States,2026-03-09
